Threshold,Method,Run,Model,Alpha,Beta,Gamma,Accuracy
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,stratified,0,GAT,1,0,0,0.318985849
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,stratified,0,GAT,1,0,0,0.318985849
0.9,stratified,0,GCN,1,0,0,0.381485849
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,stratified,0,GAT,1,0,0,0.318985849
0.9,stratified,0,GCN,1,0,0,0.381485849
0.9,stratified,0,GraphSAGE,1,0,0,0.423938679
0.8,blackhole,0,GAT,1,0,0,0.647995283
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,stratified,0,GAT,1,0,0,0.318985849
0.9,stratified,0,GCN,1,0,0,0.381485849
0.9,stratified,0,GraphSAGE,1,0,0,0.423938679
0.8,blackhole,0,GAT,1,0,0,0.647995283
0.8,blackhole,0,GCN,1,0,0,0.6875
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,stratified,0,GAT,1,0,0,0.318985849
0.9,stratified,0,GCN,1,0,0,0.381485849
0.9,stratified,0,GraphSAGE,1,0,0,0.423938679
0.8,blackhole,0,GAT,1,0,0,0.647995283
0.8,blackhole,0,GCN,1,0,0,0.6875
0.8,blackhole,0,GraphSAGE,1,0,0,0.660377358
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,stratified,0,GAT,1,0,0,0.318985849
0.9,stratified,0,GCN,1,0,0,0.381485849
0.9,stratified,0,GraphSAGE,1,0,0,0.423938679
0.8,blackhole,0,GAT,1,0,0,0.647995283
0.8,blackhole,0,GCN,1,0,0,0.6875
0.8,blackhole,0,GraphSAGE,1,0,0,0.660377358
0.8,stratified,0,GAT,1,0,0,0.443396226
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,stratified,0,GAT,1,0,0,0.318985849
0.9,stratified,0,GCN,1,0,0,0.381485849
0.9,stratified,0,GraphSAGE,1,0,0,0.423938679
0.8,blackhole,0,GAT,1,0,0,0.647995283
0.8,blackhole,0,GCN,1,0,0,0.6875
0.8,blackhole,0,GraphSAGE,1,0,0,0.660377358
0.8,stratified,0,GAT,1,0,0,0.443396226
0.8,stratified,0,GCN,1,0,0,0.351415094
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,stratified,0,GAT,1,0,0,0.318985849
0.9,stratified,0,GCN,1,0,0,0.381485849
0.9,stratified,0,GraphSAGE,1,0,0,0.423938679
0.8,blackhole,0,GAT,1,0,0,0.647995283
0.8,blackhole,0,GCN,1,0,0,0.6875
0.8,blackhole,0,GraphSAGE,1,0,0,0.660377358
0.8,stratified,0,GAT,1,0,0,0.443396226
0.8,stratified,0,GCN,1,0,0,0.351415094
0.8,stratified,0,GraphSAGE,1,0,0,0.396816038
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,stratified,0,GAT,1,0,0,0.318985849
0.9,stratified,0,GCN,1,0,0,0.381485849
0.9,stratified,0,GraphSAGE,1,0,0,0.423938679
0.7,blackhole,0,GAT,1,0,0,0.64504717
0.8,blackhole,0,GAT,1,0,0,0.647995283
0.8,blackhole,0,GCN,1,0,0,0.6875
0.8,blackhole,0,GraphSAGE,1,0,0,0.660377358
0.8,stratified,0,GAT,1,0,0,0.443396226
0.8,stratified,0,GCN,1,0,0,0.351415094
0.8,stratified,0,GraphSAGE,1,0,0,0.396816038
0.9,blackhole,0,GAT,1,0,0,0.652122642
0.9,blackhole,0,GCN,1,0,0,0.683372642
0.9,blackhole,0,GraphSAGE,1,0,0,0.629127358
0.9,stratified,0,GAT,1,0,0,0.318985849
0.9,stratified,0,GCN,1,0,0,0.381485849
0.9,stratified,0,GraphSAGE,1,0,0,0.423938679
0.7,blackhole,0,GAT,1,0,0,0.64504717
0.7,blackhole,0,GCN,1,0,0,0.688089623
0.8,blackhole,0,GAT,1,0,0,0.647995283
0.8,blackhole,0,GCN,1,0,0,0.6875
0.8,blackhole,0,GraphSAGE,1,0,0,0.660377358
0.8,stratified,0,GAT,1,0,0,0.443396226
0.8,stratified,0,GCN,1,0,0,0.351415094
0.8,stratified,0,GraphSAGE,1,0,0,0.396816038
