Model,Method,Threshold,Run,Graph_Build_s,Graph_Construct_s,Train_Time_s,Peak_Memory_Spars_MB,Peak_Memory_Train_MB,Overall_Peak_Memory_MB,Num_Nodes,Num_Edges
GAT,baseline_raw,0.0,0,4e-06,0.0,120.788201,0.0,27.363,27.363,12561,414650
GAT,baseline_raw,0.0,1,4e-06,0.0,126.556621,0.0,27.361,27.361,12561,414650
GAT,baseline_raw,0.0,2,5e-06,0.0,146.628919,0.0,27.361,27.361,12561,414650
GCN,baseline_raw,0.0,0,5e-06,0.0,10.024463,0.0,27.361,27.361,12561,414650
GCN,baseline_raw,0.0,1,4e-06,0.0,10.00562,0.0,27.361,27.361,12561,414650
GCN,baseline_raw,0.0,2,5e-06,0.0,9.595604,0.0,27.361,27.361,12561,414650
GraphSAGE,baseline_raw,0.0,0,4e-06,0.0,14.97983,0.0,27.361,27.361,12561,414650
GraphSAGE,baseline_raw,0.0,1,5e-06,0.0,12.932039,0.0,27.361,27.361,12561,414650
GraphSAGE,baseline_raw,0.0,2,4e-06,0.0,15.437894,0.0,27.361,27.361,12561,414650
GAT,baseline_raw,0.0,0,4e-06,0.0,137.738932,0.0,27.363,27.363,12561,414650
GAT,baseline_raw,0.0,1,4e-06,0.0,135.901826,0.0,27.361,27.361,12561,414650
GAT,baseline_raw,0.0,2,5e-06,0.0,109.130346,0.0,27.361,27.361,12561,414650
GCN,baseline_raw,0.0,0,5e-06,0.0,6.312853,0.0,27.361,27.361,12561,414650
GCN,baseline_raw,0.0,1,4e-06,0.0,8.861034,0.0,27.361,27.361,12561,414650
GCN,baseline_raw,0.0,2,4e-06,0.0,7.619922,0.0,27.361,27.361,12561,414650
GraphSAGE,baseline_raw,0.0,0,5e-06,0.0,18.059756,0.0,27.361,27.361,12561,414650
GraphSAGE,baseline_raw,0.0,1,5e-06,0.0,9.257514,0.0,27.361,27.361,12561,414650
GraphSAGE,baseline_raw,0.0,2,4e-06,0.0,11.803918,0.0,27.361,27.361,12561,414650
GAT,blackhole,0.0,0,5e-06,34.174001,84.89935,218.763,13.79,218.763,11072,195851
GAT,blackhole,0.0,1,6e-06,34.379374,95.729799,218.697,13.79,218.697,11072,195851
GAT,blackhole,0.0,2,5e-06,33.990929,65.09879,218.684,13.79,218.684,11072,195851
GCN,blackhole,0.0,0,4e-06,34.017537,5.603187,218.69,13.79,218.69,11072,195851
GCN,blackhole,0.0,1,5e-06,33.845662,5.892169,218.694,13.79,218.694,11072,195851
GCN,blackhole,0.0,2,5e-06,33.832185,5.733005,218.699,13.79,218.699,11072,195851
GraphSAGE,blackhole,0.0,0,4e-06,33.967661,7.876327,218.704,13.79,218.704,11072,195851
GraphSAGE,blackhole,0.0,1,4e-06,34.02319,7.599894,218.671,13.79,218.671,11072,195851
GraphSAGE,blackhole,0.0,2,4e-06,33.714504,6.399099,218.675,13.79,218.675,11072,195851
GAT,blackhole,0.1,0,5e-06,32.080209,39.397059,185.899,11.118,185.899,9955,165481
GAT,blackhole,0.1,1,5e-06,32.005078,48.783609,185.902,11.118,185.902,9955,165481
GAT,blackhole,0.1,2,4e-06,32.380737,81.017569,185.907,11.118,185.907,9955,165481
GCN,blackhole,0.1,0,4e-06,32.23471,4.669518,185.912,11.117,185.912,9955,165481
GCN,blackhole,0.1,1,3e-06,32.227404,4.505853,185.916,11.118,185.916,9955,165481
GCN,blackhole,0.1,2,5e-06,33.541655,4.041092,185.921,11.118,185.921,9955,165481
GraphSAGE,blackhole,0.1,0,4e-06,32.709589,7.464922,185.888,11.118,185.888,9955,165481
GraphSAGE,blackhole,0.1,1,4e-06,32.53766,5.471521,185.892,11.118,185.892,9955,165481
GraphSAGE,blackhole,0.1,2,6e-06,32.849124,6.000732,185.897,11.118,185.897,9955,165481
GAT,blackhole,0.2,0,5e-06,31.228845,48.548688,156.848,9.214,156.848,8834,135962
GAT,blackhole,0.2,1,5e-06,31.029429,38.092391,156.851,9.214,156.851,8834,135962
