source,target,weight
XOHLEM01,XOHLEM,1.0000000000000002
XOHLEM,XOHLEM01,1.0000000000000002
QADKEL02,QADKEL,1.0
XEGJIE02,XEGJIE,1.0
SIYXIH10,SIYXIH,1.0
QADKEL,QADKEL02,1.0
TELMII01,TELMII,1.0
TELMII,TELMII01,1.0
MACUFR05,MACUFR04,1.0
SIYXIH,SIYXIH10,1.0
NIVFUT01,NIVFUT,1.0
NIVFUT,NIVFUT01,1.0
JONKEE,URUYUD,1.0
IMUKUW,LUNHUZ,1.0
MACUFR04,MACUFR05,1.0
NOBWUY,UGOCEA,1.0
UGOCEA,NOBWUY,1.0
XEGJIE,XEGJIE02,1.0
LUNHUZ,IMUKUW,1.0
HENSEB,HENSEB01,1.0
URUYUD,JONKEE,1.0
HENSEB01,HENSEB,1.0
GIKMOD06,GIKMOD07,0.9999999999999998
PENBOC01,PENBOC,0.9999999999999998
GIKMOD07,GIKMOD06,0.9999999999999998
PENBOC,PENBOC01,0.9999999999999998
DOTSOV10,DOTSOV15,0.999999999999999
DOTSOV15,DOTSOV10,0.999999999999999
DOTSOV16,DOTSOV08,0.99999999999972
DOTSOV08,DOTSOV16,0.99999999999972
DADTOS08,DADTOS05,0.9999999999983858
DADTOS05,DADTOS08,0.9999999999983858
YOZMEH,UXISUR,0.9999999999973636
UXISUR,YOZMEH,0.9999999999973636
OWIJEL,OWIJOV,0.9999999999971906
OWIJOV,OWIJEL,0.9999999999971906
NIWZIE16,NIWZIE17,0.9999999999966755
NIWZIE17,NIWZIE16,0.9999999999966755
RUBTAK09,RUBTAK04,0.9999999999966456
RUBTAK04,RUBTAK09,0.9999999999966456
WIHWEQ,WIHWIU,0.999999999995017
WIHWIU,WIHWEQ,0.999999999995017
OTEGOL,OTEGUR,0.9999999999949832
OTEGUR,OTEGOL,0.9999999999949832
DOTSOV06,DOTSOV43,0.999999999993294
DOTSOV43,DOTSOV06,0.999999999993294
XUPGOG,MIBQAR20,0.9999999999925429
MIBQAR20,XUPGOG,0.9999999999925429
FUVGAG01,FUVGAG,0.9999999999920146
FUVGAG,FUVGAG01,0.9999999999920146
DOTSOV11,DOTSOV13,0.9999999999912554
DOTSOV13,DOTSOV11,0.9999999999912554
WIZMAV04,WIZMAV08,0.9999999999887192
WIZMAV08,WIZMAV04,0.9999999999887192
QEHZAH,JETVOW,0.9999999999873416
JETVOW,QEHZAH,0.9999999999873416
VELVOY,MECWEX,0.999999999983054
MECWEX,VELVOY,0.999999999983054
JIXWUJ,IJOMOJ02,0.9999999999815286
IJOMOJ02,JIXWUJ,0.9999999999815286
VAZTOG,LAWFUL,0.9999999999807676
LAWFUL,VAZTOG,0.9999999999807676
NIRPOW,TOXMUQ,0.9999999999775626
TOXMUQ,NIRPOW,0.9999999999775626
IBICON,IBICED,0.9999999999775084
IBICED,IBICON,0.9999999999775084
PADKIP12,PADKIP14,0.9999999999755704
PADKIP14,PADKIP12,0.9999999999755704
VELVOY,YUDWAX,0.999999999974514
YUDWAX,VELVOY,0.999999999974514
CAYDEN,CAYDOX02,0.9999999999709904
CAYDOX02,CAYDEN,0.9999999999709904
XEGWAK,XEGWUE,0.9999999999702374
XEGWUE,XEGWAK,0.9999999999702374
DOTSOV22,DOTSOV05,0.9999999999653564
DOTSOV05,DOTSOV22,0.9999999999653564
FAWCEN02,FAWCEN03,0.999999999961698
FAWCEN03,FAWCEN02,0.999999999961698
HIFTOG03,HOLRAD,0.9999999999616604
HOLRAD,HIFTOG03,0.9999999999616604
IFEQIV,IFEPUG06,0.999999999959286
IFEPUG06,IFEQIV,0.999999999959286
XAMDUM,YOZMEH,0.9999999999589456
YOZMEH,XAMDUM,0.9999999999589456
RUBTAK03,SURHEU02,0.999999999957359
SURHEU02,RUBTAK03,0.999999999957359
KEPFIX04,KEPFIX,0.9999999999530194
KEPFIX,KEPFIX04,0.9999999999530194
DOTSOV32,DOTSOV26,0.9999999999453262
DOTSOV26,DOTSOV32,0.9999999999453262
SURLEY,RUBTAK03,0.999999999945007
RUBTAK03,SURLEY,0.999999999945007
QEHZAH,JETVUC,0.9999999999448952
JETVUC,QEHZAH,0.9999999999448952
XAMDUM,UXISUR,0.9999999999385843
UXISUR,XAMDUM,0.9999999999385843
DOTSOV04,DOTSOV23,0.999999999933448
DOTSOV23,DOTSOV04,0.999999999933448
DADTOS06,DADTOS12,0.9999999999333496
DADTOS12,DADTOS06,0.9999999999333496
DOTSOV20,DOTSOV22,0.9999999999305796
DOTSOV22,DOTSOV20,0.9999999999305796
SURKUN01,RUBTAK05,0.9999999999200232
RUBTAK05,SURKUN01,0.9999999999200232
WIZMAV07,WIZMAV10,0.9999999999186856
WIZMAV10,WIZMAV07,0.9999999999186856
MECWEX,YUDWAX,0.9999999999166892
YUDWAX,MECWEX,0.9999999999166892
MAGVOG28,MAGVOG29,0.9999999999128004
MAGVOG29,MAGVOG28,0.9999999999128004
MIBQAR12,PEVPUD,0.9999999998896948
