source,target,weight
LUWZUZ01,CEJFOO,0.8850762798970049
HISJAW,QUSVOQ,0.8415167991425092
UNIRUF01,UNIRUF13,0.9993770032041984
GERXIN,WIZMAV04,0.8024117800779185
IGINIX,PIWLOZ,0.8097239484652909
HAZGOF12,CAVMUJ02,0.9988908722907484
UMODEH16,UMOYOM17,0.860401718801875
LONHON,GETWEJ,0.832846361463193
IXOFIL,XAPCOJ04,0.8353671633174724
FIFFUX,HERHUK02,0.8617838206211638
GOSDUP,FERCEN,0.8039079213775497
UKUPIB,WEYQAU08,0.8141767206209298
VAYFAE,XOGWUN,0.9997565244645976
NUDNUW08,CAJHUS02,0.995161917426456
ECUFIU,FIPPEA01,0.994514873567767
PADKIP10,SIWPUL01,0.9999764397520152
JOFCEO01,ADATIK,0.8055407881067875
BUKLOJ,WOPWOP,0.8147772851956474
COKQEA,WOCGUR,0.8072603538658062
KAKNEQ,FERCAJ,0.8870604944494849
YIMQET,HAFFAY,0.9036020460954513
HIBGIJ,PADKIP07,0.9966658275585892
PEVQIS,IDIXAU,0.8780018092116436
VOLQOD,XAPNIN,0.8401849472431304
PEDWIH,DUPKAC,0.8580254109652956
NURFOX04,NURGEO,0.9999996337849186
FEYJOJ,ICAMEG,0.8582830094939243
VAKREG,DEFTAL,0.8253505470641008
TAGTUT,UTEMAJ,0.8129937802676993
SAHYOQ,FERCIR,0.8856909319708236
SENSIQ,FIQCEN,0.8682135451477854
GERBIR,HERHEU,0.860817630462055
XEHSEJ,NAXVOY02,0.9999519010833692
MUPLAL,OJOQAF,0.8370229721909963
FECYUJ,PASGEX04,0.8152370772686351
QUQFEO,FUTYEA,0.932982742050212
VOLRAQ,PICCUC,0.8493061903394279
DOTSOV10,DOTSOV41,0.9999990261724008
CIBTIR,YUNBOZ,0.8099127200544519
DIDBEZ,XUDVAV,0.8602342837879955
DOTSOV43,YIMQAP,0.8393502938884291
REGREC,DUNXUH13,0.8973040708618467
WEYQAU06,CUKXIR,0.8332755230936661
VIXZUZ,XISVUR,0.8527315873464731
AHEFAU,COKPID,0.8724983922222259
WAFKEU04,MOHLIF,0.8037343865179742
FUBNOH,EWUKIS,0.8006796841064627
DAWCIP,PIKYEQ,0.8270195362362561
NIHBAI02,YANVIV01,0.9987418490822766
FUBNOH,PAQYIR,0.8197058058490064
WIFSAI01,FUSWIA,0.8190625733823155
BABRII,KAWHEY,0.8151227553350547
EPISOM,FAMQES,0.811249389916535
NANYUX01,HUTZAX,0.8035205613997825
DOTSOV29,HIDVAU,0.844327431206263
VIFPUY01,GAZZIS02,0.9065700361380218
NIWYOJ,GAGDAW,0.8137608952847841
UNIGEE,UDITEJ,0.8257015161249879
HIBGIJ,LIJWOR02,0.9977720842760464
XAMDUM04,FASVIH,0.8140807360978843
WECSAZ01,LARYEK03,0.997554645087564
OKEHIW,KORMUB,0.9207895111417111
NEHGIS,ABUWOJ,0.9017962927512224
CAQJOW,BUKLOJ01,0.8690993665984469
AQEQIW,QEHYOU,0.8217834360766552
NEXVET,WIXJIW01,0.8213659072971333
EZULAO,CUVFUW,0.8019812021830779
NENXIO,HAWZEM,0.8058753910995408
QUQGUF,JUYJIY,0.8718032323527941
DACZUF,DEFTAL01,0.924102195570409
XIYYEL,WECBEN,0.9973648575667446
YIBMUT,YOSWUA,0.821964207452244
JEMPID,ATURIS,0.999978636500508
CIRSOO,EKEKEL,0.8296460737574114
LEDPAN,HIZQEN,0.8075050701245493
ESURER02,TIVYAZ,0.8034445901208362
GOQTIR,AJAKON,0.8013649932515687
LARBOW01,UMORIY,0.8285934980529543
ALIXUP,ADASIJ,0.819214899905794
LECFUW,XAMDUM03,0.8214832579294367
XUPGOG,MIMRAB01,0.8842912775435454
BIKMUG,ESEBOV,0.8321168139395464
SUTBUF,NOCMOI,0.8049684526633416
MNFORD05,YANWOC01,0.9997016551247532
CIFMIP,KULLEK,0.8142781798419358
NIFPAW,XIZDAN,0.8123952778190754
ODUNEH,UWAGAB04,0.921851976481983
POFFEX,QUJLAK,0.8008824408846799
WOSZEL,TONQOD,0.9049953773983342
YOZPAG,FIRTIL,0.8642031059517266
TIRLIQ,TATPOV,0.8234142711467785
PEVQIS,IQOJAB,0.8326767222843063
POSGEL,IGUTUB,0.8358258779047337
FIJDEI,VIDVUB,0.823927285552309
VEHKEA,GAGDAW,0.8129511969898244
ANUGOG,UMOBEF,0.8359591405247203
MIBQAR08,XAMHEA,0.8224607151802297
IDUSIM01,OQIZUL,0.814988615595802
QUJLAK,BAHGUN02,0.8032774588874219
BUVYEX,ODEQEW,0.9009557711489288
AMURUX11,MGFORD03,0.999842810105332
XAVKIR,ISISUZ,0.8621892995686844
FADCOF02,QESPOW,0.8375569818544495
VAGVAC,OCUFUQ,0.8093035783096881
NUXMIC01,BECRUX02,0.9575708793967926
DOTSOV42,IXAJUN,0.8582634412325976
DOTSOV03,WANJIF,0.8849321143531905
XAMDUM05,NEMCOA,0.8747909843895084
PUWDOA,XALDAS,0.955832985287272
NOFHOG,EXUSUN,0.9021853586296982
PEVQEO,TEMPAE,0.80617906183417
QAPYOY,LUWKEV,0.8275739441151112
EFUHEU,VEHFAS,0.8142170262165602
EPEYAB,DOTSOV43,0.8005030992470797
FAHMIM,NIRZAQ,0.8322991945590429
DOTSOV37,WIJRIT,0.8443958251307824
HUCBOX,XAMDUM07,0.8969832565109275
LUYSOP,CANROA,0.905888463098089
DIGPER,XISDOU,0.8394188738479582
DUDZOT,KEZLIN,0.8158429298718225
GOYLUB,AJAKON,0.9074472856803352
YINCUV,CIFDOM,0.826955364222217
DOTSOV34,UNABUH,0.8230065624134497
ESADUZ02,SAHYOS,0.8093881595812336
YOZYUJ,REDROI,0.8336102130212144
SITDEH,NODTOR,0.8328041296593459
DEFTAL01,LOMQOV,0.8281802720674006
CEHLAD,HAQRID,0.9463937988986536
SAFZIL,VACFOV,0.8747850923466081
VACKUI,QIQTOB,0.8064829417836112
REVGUW,EGUHOD,0.8294586001039839
ATICEL,DIDVIW,0.9985513898561132
VODNOS,YIRSUQ,0.8416699696043525
FUTYEA,MIBQAR03,0.8717315321747301
IYUHIT,YOSLIB02,0.8068714593678398
JIJLIA,REGREC,0.8008689074447802
CAYDUD,CAYDOX06,0.9999999997043248
HOYQIX,XICKOL,0.8951252250691609
VEGXIQ01,IQOKEG,0.8225079419007316
FAGXOD,KEQDER,0.8122105145859693
VUSKIE,BUKMUQ01,0.8102509481215631
XOMHIS,XINTOG,0.8731894715445099
PUGSER,DUNXUH21,0.8071002071602876
UNIGEE,YOCGAZ,0.906451535263806
NISPEL,UXELIT,0.8870683382203424
HOGLEV,FIQCEN,0.9077338354665576
DOTSOV19,YOZNUY,0.9977522427559078
PEVQEO,MIBQAR12,0.9999986659352664
NUQWAZ03,NURGEO,0.9999986581978344
FIBHUW,TEXVOJ,0.9998246485275092
BAZFUF,YEKYAQ,0.833071244012857
BIVXAG,LAGWIB,0.8037593449573944
NATFAS,LIMPAZ,0.8606337323852778
NIWYID,VAZTUM,0.8737765350035624
NIFQEB,YESYUT,0.8074473126151338
UWAGAB05,VUSKEA,0.8727631551499769
GIKMOD08,VIXPUP,0.8058647633900171
IZAXIR,NEHZUY,0.8731040401160094
WANNIL,NASREH,0.8058393955702533
AHONIU,LADQOZ,0.8057320101667502
OKIYIR03,OKIYAJ01,0.9999997004381912
XIHSEN,FISQIK,0.8233121551339491
IFABIA,SAHYOQ02,0.9989239663734322
KUKMUA,DOTSOV24,0.8969562577610151
HAZGOF,HOJNOL,0.999920938957118
XOJWOJ,PERROW,0.8160252372744456
MAGNEQ,YUKVOQ03,0.9999265867299229
DITTEH,NEXVET,0.8853331856348227
BECKOM,RUXWEM01,0.8157813689889296
HIFGIO,UNIGEE,0.8539747625177634
YIBMON01,SEGWAF,0.8649427580158138
SIRBIG07,NIWZIE02,0.9981015038303932
LEJCIO,GISNED,0.9162398226388632
RIFDUG01,FAHMIM,0.8317057210711292
JODFOZ,KOHDIW,0.8126964373617714
AXOFOJ,EHISUJ,0.8192498435002668
KEVBIY,BEQJAL,0.8154589698772496
NODTEH,DOGHIR,0.801451934859412
MAYJOM,UFIRUX,0.9944557774012104
VUKTOM,UMIZIB,0.8160411982318233
ADIQEL,TATSIS,0.8056245386263584
HICNUF,SURHEU01,0.8375033098345891
TAFCIO01,ESEQUO,0.8614905577827183
PEJPAX,AVIMIC,0.8273190645079497
YUKTUU03,PADJOU,0.9999801974964928
BIHRUI,YOZNAE,0.8296116683057311
LIQFIC,CIFJAE,0.8235593254289743
USEVOF,LUSZIJ01,0.8001958040196444
ADASUV,UVUCOF,0.8828985529660955
ROLCEC12,MEMCUF,0.9990472805943296
SENSOW,AWENAT02,0.8087615916268633
XEDGIY,TEHWEK,0.8308717631095921
IZIHOQ,OMUMIU,0.8203239322890394
HIFGIO,XAFFER,0.8177276370131129
MIBQAR07,SAHYIK,0.9999984634405588
YAYQOH,ULOGIL,0.8220764935900633
PICCUC,YIBMON01,0.8322527072820533
VALXOY,VALXAK,0.9994753595327605
REDROI,SERKOQ,0.9998919962799802
