source,target,weight
USAHAZ,DAWCIP,0.8139803224168842
ALEHUW,MIMRAB01,0.8029897167345387
VEMTAJ01,USAYOE,0.8032577267350117
TISPAO,CEFNIN,0.8037678089522587
PEJNOJ,ODODIW,0.8051697205419617
QIYDAF01,DOTSOV08,0.8135770253320089
JEPWIN01,MITSEO,0.8161274598133089
ZARLEL,NIWYID,0.8122520288269688
TEVVEY,INESIE,0.8069660016829913
HAYXIR,UFUNIS,0.809457561658898
MOBDIR,MURREW,0.8030382084821657
ADONEP,LUTCAF,0.8028915799817605
PUDSIR01,LEPLAV,0.8046315839009105
OFIXOR,ORIBAU,0.8039081730799121
MAQDUD,AZAYEH,0.8046499214573395
QOMRUH,OJOQAF02,0.8181935075488902
NAWXER,LIHFAK,0.8160189293120443
DOTSOV10,SUKYIH,0.805012981945313
DITYEM02,MIRNOR01,0.8123004030533515
MITSIS,RIGHAR,0.8119569195928521
REDROI,LETRUZ,0.8040189246352262
HIVQAG,WEYQAU06,0.8123867309545314
KUKMUA,IPUPOA,0.8041039611828694
LUTCAF,GERWEH,0.8184838265593337
WAQKEG,HIYZEV01,0.8064999971574747
XOHNEO,HOLQAC,0.8092697380874115
LAPNUO,IYUHIU,0.8061540439615896
ROZXEL,WOJZOK01,0.809863999871195
NUFCAU,RIGTIL,0.8081716669628816
DITTEH,VALGAS,0.8035970234708467
PASGIB,NANYUX01,0.8147947450862207
MOXDOT,XUYYEW,0.8154877132194913
MIBQAR01,QUQFIS,0.8195352728865863
RUVBOB,NOZZOT,0.8189231226027631
AJAKON,PIJJEZ,0.8035047422378887
YUZJOU,UFUROF,0.8133994182478479
ANUGOG,NUTQEZ,0.8077364040061474
WEMWAP,PEKGAO,0.8149429838231793
WULJUJ,ADASEF,0.8109671921633935
MITSIS,HAZPIJ02,0.8025155126400925
XUNTEH01,POFHAV,0.8144110983018282
QEKLID,IVOLIQ,0.8076756045380254
BOWDUO,DIBQIQ,0.8139914984521631
NOCKOG,AVIPOL,0.8132669747777692
LUYSOP,FUDGUI,0.8060396102208569
NANYUX01,YOCDUR,0.8060211641432612
YODRAM,WUHMUJ,0.8141197041177638
AZAVUU,DOTSOV12,0.8139527913204465
RAKBIO01,XAPSIS,0.8149403175766494
FALGIK,VEYSAW,0.8098477774866017
GOYLUB,KETHEY01,0.8009129971890635
AWEJES,ZARLIP,0.8171610753772665
SAJRUT,SADMOB,0.8181436074029721
KUXREC,FEWTAF,0.8149941040504418
EMUBIZ,LUSZUV,0.8059094840055951
KEJKES,DOTSOV30,0.8104079868681223
YAQCEY,ABAYIO,0.8109609524703955
LIDSIC,QIRYAS,0.8109024812440517
LEPLAV,FAJGOP,0.8056555951351653
NAMDOV,ECUFAM,0.8031520495991156
LIDSIC,VAKREG,0.8006059763166415
KOQXUL,IZAVUA,0.8146316454571538
NURMUJ,LIHFAK,0.8005347685317092
MOHSAF,DELGIN,0.8016682147485075
LAWFOF,JOVYAW,0.8028998585297025
SIWTOJ,FENTEY,0.8010319190649913
IBAPEJ,ALUJEX,0.8056086862844355
FIQCEN,AHEMEG,0.8142242381138158
PIHJIB,DAPYAW,0.8001926009448587
PENNAZ,FIJDEI,0.8124157732578563
VEHJUP,LETRUZ,0.8023374134342631
PIQQOX,EKUNON,0.800308375859711
UFAMEW,WEHHIC,0.8137699640323552
LUTBUY,XIJSUH,0.814686644730782
GERWIL,LASMUP,0.816517296816471
FODGUB,HIZQEN01,0.8076504353312832
UFUNIS,QIZLOC,0.8150622896427655
WORLAS,FUDGIW,0.8116405928618298
MIBQAR06,KEFBEE,0.8051162789520316
DOTSOV38,KEJKES,0.8104126664177889
LAWGOG,NIPWIT01,0.8061337784458776
PIJJEZ,ESADUZ01,0.8002687136545608
TITBUV,PEJPEB,0.8048605348360557
IXIQIQ,OGEQAU,0.8134608748794028
KAFYAT,CUVTOD,0.8049465863247519
QIYDIN,DOTSOV27,0.8149081918575236
JUQSIZ,AVAQIX01,0.8136467997803285
MURREW,DOTSOV01,0.8138014920813448
WAWGOQ,MIBQAR12,0.8148201373092583
YIKGEF,HIZQEN,0.8055181238668522
NENHAQ,XEQRAO,0.801463837716665
JEDVEW,GIMSUS,0.8141489293840835
YOCGAZ,WORKUL,0.8142493944488811
YOCGAZ,FIWKUT,0.800281482949436
VOTHOD,FESYEK,0.804049630482057
ICAREL,BIHRUI,0.8192939141321461
WUMDIT,YOCGAZ,0.808582120394119
XUYYEW,AXINAX01,0.8140391973440178
VEGMIE,BAKJOO,0.8009491195653087
LUCDAO,FAJGOP,0.8119097237510841
FECWOB,RUYGOJ,0.8071840243972883
VEFMAW,DUVNIS01,0.8059160317113664
MIRGIG,BETDOV,0.8185665846858801
KAKTIA01,BAZFUF01,0.8108313339209594
NOZZUZ,DELGIN,0.81503361626953
WANJIF,UFUNIS,0.8185556865052949
HIDTUM,GIKMOD,0.8002914870251013
QERZUI01,XAWVUN,0.8143770240513961
UFUMUD02,DOTSOV07,0.812569505370039
YAVYAW02,DOTSOV42,0.8061214656584038
OGEBAF,NAFSOF,0.8188125376816282
LUWKIZ,ODIXIK,0.8142844175484834
KETHEY,NAHHAI,0.8001059771531992
SUKYIH,QIZLOC,0.8048810780299652
PEVQIS,OFORUZ,0.8172809677721549
HOGLEV01,OKABAE,0.801044533419634
FUVYOL,SEQSOY,0.8000796530080179
YIGGEB,BIKMAL01,0.8032668110274466
BAKJOO,JODFOZ,0.8190883299990991
QUQFIS,ALANAD,0.8039958075636693
AXINIF,BOWDUO,0.8124311143927557
QOWRAV03,CEKHUY,0.8161344891943014
KEFBOO,VUSKAW,0.8051752436923616
JOPGUS,CAQKAJ,0.8077286542519058
VIZQEC,HELDOT,0.8088387456428667
DOTSOV36,KEJKAO,0.810476466670704
IFABIA01,EZINAE,0.8171470958981676
HAJYAV,FEXCES,0.8131773970708897
KEGTEY,FUVBAB,0.8109281779352282
NOBWUY,HANWAW,0.8156933844003817
BAKJEE,JODGOA,0.8187605032107734
HUCBOX,WANJIF,0.8060084891456212
EMUBIZ,ZAZBUZ,0.8138894882519595
