source,target,weight
DOTSOV40,DOTSOV37,0.9999999989090798
DOTSOV40,DOTSOV41,0.99999982538514
ESEDEN,XIHXAP01,0.915324807987418
EBEWIT,DIGPER,0.999999991880526
EBEWIT,EBEXAM,0.9999995741242028
EBEWIT,EBEWOZ01,0.9999885654465024
HURGOR,DERBIO,0.9999903232513792
HURGOR,MOXDOT,0.9999568719403068
HURGOR,MOXDOT01,0.9999514944376648
MOXDEJ,FILYEG,0.9998691730359808
TIKXAN,CUFDOX,0.9999999959821976
TIKXAN,CUFFIT,0.9999998603056024
TIKXAN,YAMXOC,0.999999701178699
TIKXAN,FEYDET,0.999976606077286
LUDLED,XAMDUM,0.9999998959903682
LUDLED,YOZMEH,0.9999998918644708
LUDLED,UXISUR,0.9999998908789712
LUDLED,DIHVIB01,0.9999998715543694
LUDLED,YOZNIM,0.9999997703459156
LUDLED,XAMDUM01,0.9999996296244515
LUDLED,RILFEA,0.9999996235820084
LUDLED,YOZMIL,0.9999994306552384
LUDLED,XAMDUM07,0.9999993538659108
LUDLED,YOZMOR,0.9999965645054902
LUDLED,LUDLIH,0.9999964818648964
LUDLED,YOZNAE,0.9999957148242276
LUDLED,DIHVIB,0.9999948132776384
LUDLED,BODPAN,0.9999939910173056
LUDLED,XAMDUM05,0.9999932612051065
LUDLED,XAMDUM04,0.9999904195133752
LUDLED,YOZPAG,0.9999821797295868
LUDLED,XAMDUM02,0.9999758255292772
LUDLED,DOTSOV42,0.9999475049421304
LUDLED,DOTSOV13,0.9999423922200792
LUDLED,DOTSOV11,0.9999423473291142
LUDLED,DOTSOV15,0.9999419209317608
LUDLED,DOTSOV10,0.9999419207127525
LUDLED,DOTSOV08,0.9999414790303616
LUDLED,DOTSOV16,0.9999414709581768
WULKAQ,DOTSOV19,0.9999999993510128
KAKTIA,MURREW,0.9999536466756171
WOSZEL,VOLQOD,0.9999991761069952
WOSZEL,OMUSAS,0.8183070003670198
OHOMIH,QIZLOC,0.9999909217171168
MUDTAH,JOVYAW,0.9734363718630696
KIKRAA,FUFVEJ,0.999988121339664
KIKRAA,LIRVAK,0.9999810106401896
KIKRAA,RAGREY,0.9999101572628124
UHISEK,LEPLAV,0.9970486767959056
MOXDOT01,DERBIO,0.9998987841444148
VUSKAW,NIRZAQ,0.9999999969074294
DOTSOV31,DOTSOV37,0.9999999947386612
YOZNAE,DIHVIB,0.9999999569909942
YOZNAE,YOZMIL,0.9999978538254626
YOZNAE,YOZNIM,0.9999974107139518
YOZNAE,YOZPAG,0.9999953708477888
YOZNAE,FIQCEN,0.9999948723753672
YOZNAE,XAMDUM,0.9999942756152824
YOZNAE,YOZMEH,0.9999942452566176
YOZNAE,DIHVIB01,0.9999941723100872
YOZNAE,XAMDUM01,0.999992856823694
YOZNAE,RILFEA,0.999992798335651
YOZNAE,LUDLIH,0.9999873514524272
YOZNAE,XAMDUM03,0.9999860586935854
YOZNAE,XAMDUM05,0.9999782431840162
YOZNAE,DOTSOV13,0.9999066865951536
YOZNAE,DOTSOV11,0.9999066294656328
YOZNAE,DOTSOV15,0.999906087061221
YOZNAE,DOTSOV10,0.9999060867823596
YOZNAE,DOTSOV14,0.9999060052270566
JOQQAJ,VAKRIK,0.999986085563082
JOQQAJ,MOXDIN,0.9998746542330462
FEPGEP,FIVRUA,0.927470379381792
XAMDUM07,YOZNIM,0.9999998721827268
XAMDUM07,YOZMIL,0.9999998370572248
XAMDUM07,FIQCEN,0.999999003628566
XAMDUM07,YOZMOR,0.9999987550680192
XAMDUM07,XAMDUM,0.9999987313876336
XAMDUM07,YOZMEH,0.9999987170731022
XAMDUM07,UXISUR,0.9999987136869756
XAMDUM07,YOZNEI,0.9999984887974248
XAMDUM07,DIHVIB,0.999997828456564
XAMDUM07,XAMDUM03,0.9999939109888972
XAMDUM07,BODPAN,0.9999894831901536
XAMDUM07,XAMDUM05,0.9999884476840092
XAMDUM07,YOZPAG,0.999988319829035
XAMDUM07,XAMDUM04,0.9999866009967526
XAMDUM07,XAMDUM02,0.9999710755292348
XAMDUM07,DOTSOV42,0.999935211707786
XAMDUM07,DOTSOV11,0.9999294953976472
XAMDUM07,DOTSOV08,0.999928535537998
XAMDUM07,DOTSOV16,0.999928526618124
YANXIX02,YUKVUW07,0.9999503360654104
YANXIX02,YUKVUW04,0.999952341288164
MOXDIN01,VEGMIE,0.9996750410300828
XAMDUM,YOZMEH,0.9999999999589456
XAMDUM,DIHVIB01,0.9999999880870992
XAMDUM,FIQCEN,0.9999999835789146
XAMDUM,RILFEA,0.999999915304458
XAMDUM,YOZNIM,0.9999993666013728
XAMDUM,YOZMIL,0.9999989055268236
XAMDUM,LUDLIH,0.9999971359406172
XAMDUM,YOZMOR,0.9999953241586556
XAMDUM,DIHVIB,0.9999932403217108
XAMDUM,YOZPAG,0.9999793531557776
XAMDUM,DOTSOV42,0.999952074033396
XAMDUM,DOTSOV10,0.9999467320508096
XAMDUM,DOTSOV12,0.9999462898410368
DOTSOV32,DOTSOV38,0.999999998839484
MIBQAR,MIBQAR01,0.999999877256754
MIBQAR,MIBQAR06,0.9999989145373208
DOTSOV08,DOTSOV12,0.9999999895820688
DOTSOV08,BODPAN,0.9999722533171904
DOTSOV08,XAMDUM04,0.9999622508765532
DOTSOV08,LUDLIH,0.9999559332231308
DOTSOV08,XAMDUM01,0.9999503056132762
DOTSOV08,YOZMEH,0.9999464017900946
DOTSOV08,FIQCEN,0.9999444147684587
DOTSOV08,XAMDUM06,0.9999396142372068
DOTSOV08,YOZNIM,0.9999341393107452
DOTSOV08,YOZMIL,0.9999309189364444
DOTSOV08,YOZNEI,0.999912922816752
DOTSOV08,YOZMOR,0.9999110880057688
DOTSOV08,DIHVIB,0.9999014516931356
DOTSOV21,DOTSOV03,0.9999999997285054
DOTSOV21,DOTSOV24,0.9999999930470412
RUBTAK05,SURKUN01,0.9999999999200232
RUBTAK05,RUBTAK07,0.9999999982117412
RUBTAK05,UFOSEQ,0.9999999953829172
OQIZUL,YOZNUY,0.9999999656760196
OQIZUL,QAWHIH,0.999858483323785
ATAFIK,NATFAS,0.9999897116233728
ATAFIK,QOBGEV,0.999053087586082
XAMDUM06,YOZMEH,0.9999997977024718
XAMDUM06,UXISUR,0.999999796355534
XAMDUM06,DIHVIB01,0.9999997743097516
XAMDUM06,YOZMIL,0.999999574228186
XAMDUM06,XAMDUM01,0.999999469661943
XAMDUM06,RILFEA,0.9999994605621868
XAMDUM06,DIHVIB,0.9999953494945064
XAMDUM06,XAMDUM05,0.9999926195380896
XAMDUM06,XAMDUM04,0.9999899266134008
XAMDUM06,XAMDUM02,0.9999751917305798
XAMDUM06,DOTSOV42,0.9999457379823024
XAMDUM06,DOTSOV13,0.9999405419175856
XAMDUM06,DOTSOV10,0.9999400629140538
XAMDUM06,DOTSOV14,0.999939994711514
XAMDUM06,DOTSOV16,0.9999396060374662
SAQQOR,ATIKIX,0.940871702969568
FECXUI,IDIXAU,0.993998114402146
WIZMAV11,WIZMAV,0.9999999988946988
WIZMAV11,WIZMAV04,0.9999999983008406
WIZMAV11,WIZMAV08,0.9999999980144424
WIZMAV11,WIZMAV09,0.9999999979696388
WIZMAV11,WIZMAV06,0.999999984495344
NIRZAQ,PEVQEO,0.9999991211077164
NIRZAQ,OFORUZ,0.8172861834080857
YOZNIM,FIQCEN,0.9999995518866904
YOZNIM,YOZMEH,0.9999993563616264
YOZNIM,UXISUR,0.9999993541330884
YOZNIM,XAMDUM01,0.9999988633873012
YOZNIM,RILFEA,0.9999988234663156
YOZNIM,YOZMOR,0.9999981070874876
YOZNIM,YOZNEI,0.9999980003748492
YOZNIM,LUDLIH,0.9999955022044617
YOZNIM,XAMDUM03,0.9999954592237384
YOZNIM,XAMDUM05,0.9999906511155204
YOZNIM,XAMDUM04,0.9999889013837936
YOZNIM,YOZPAG,0.9999858859198556
YOZNIM,DOTSOV13,0.9999351082384044
YOZNIM,DOTSOV11,0.9999350605900784
YOZNIM,DOTSOV15,0.9999346081335424
YOZNIM,DOTSOV10,0.999934607894034
YOZNIM,DOTSOV12,0.99993414302117
YOZNIM,DOTSOV16,0.9999341307581648
XOMHEO,DURDAX,0.9416520461873904
KEQDER,JOVYAW,0.9198616235098384
MOFGOE,MOBDIR,0.999999998049698
XIHSAJ01,XIHSEN01,0.999999641253803
XIHSAJ01,XIHSEN,0.999991397571846
XIHSAJ01,XIHSAJ,0.9999836620233018
VAKRIK,VEGMIE01,0.9999844710630568
